species,mean_brain,diet_category,per_fruit,mean_groupsize,social_system,mating_system,tool_type,body_weight,infraorder,superfamily,family,prey,prey_order,prey_family,use_tools,genus,meat_eater
pan_troglodytes_troglodytes,355.32953886651944,Frug,63,40.05294117647059,polygynandry,polygynandry,yes,48328,haplorrhini,simmiformes,hominidae,"teleostei, squamata, aves, mammalia","NA, testudines, accipitriformes, buceratiformes, cuculiformes, galliformes, passeriformes, piciformes, strigiformes, unspecified, artiodactyla, carnivora, macroscelidea, pholidota, primates, rodentia","NA, Testudinidae, Accipitridae, Buceratidae, Cuculidae, Numididae, Phasianidae, Colombidae, Corvidae, Moticillidae, Ploceidae, Pycnonotidae, Viduidae, Picidae, Strigidae, Bovidae, Suidae, Felidae, Viverridae, Macroscelididae, Manidae, Cercopithecidae, Galagidae, Lorisidae, Anomaluridae, Muridae, Nesomyidae, Sciuridae, Thryonomidae",1,pan,1
papio_anubis,172.9361100383574,Frug,13.6,48.3027027027027,polygynandry,polygynandry,"Multiple accounts of free individuals preparing, extracting, to be aggressive towards another, and performing physical maintenance with tools and of captive individuals using tools to capture food",17209.52,haplorrhini,simmiformes,cercopithecidae,"teleostei, squamata, aves, mammalia","cypriniformes, NA, squamata, charadriiformes, galliformes, artiodactyla, chiroptera, lagomorpha, rodentia","Ciprinidae, NA, Gekkonidae, Chamaeleonidae, Scincidae, Varanidae, Turnicidae, Numididae, Phasianidae, Bovidae, Pterypodidae, Leporidae, Muridae",1,papio,1
papio_cynocephalus,155.5423543590404,Frug,62,51.095454545454544,polygynandry,polygynandry,Anecdotal evidence of captive individuals using tools to capture food,14290.716666666667,haplorrhini,simmiformes,cercopithecidae,"amphibia, squamata, aves, mammalia","anura, squamata, galliformes, artiodactyla, lagomorpha, primates, rodentia","NA, Numididae, Bovidae, Leporidae, Cercopithecidae, Galagidae, Bathyergidae",1,papio,1
papio_hamadryas,129.93872727272728,Frug/Fol,88,41.125,polygynandry,harem polygyny,Multiple accounts of captive individuals using tools to capture food,12002.36,haplorrhini,simmiformes,cercopithecidae,"squamata, aves, mammalia","squamata, galliformes, NA, artiodactyla, hyracoidea, lagomorpha","Lacertidae, Phasianidae, NA, Bovidae, Procavidae, Leporidae",1,papio,1
papio_papio,143.325,Frug,NA,136.66666666666666,polygynandry,harem polygyny,Multiple accounts of captive individuals using tools to capture food,17811.025,haplorrhini,simmiformes,cercopithecidae,"aves, mammalia","NA, lagomorpha, artiodactyla","NA, Leporidae, Bovidae",1,papio,1
papio_ursinus,195.4334721671404,Frug/Fol,87,42.00909090909091,polygynandry,polygynandry,Multiple accounts of free individuals using tools to extract food and to be aggressive towards another and of captive individuals capturing food,20014.72,haplorrhini,simmiformes,cercopithecidae,"teleostei, squamata, aves, mammalia","cypriniformes, perciformes, testudines, galliformes, NA, artiodacytla, lagomorpha, primates, rodentia","Ciprinidae, Cichlidae, Testudinidae, Phasianidae, NA, Bovidae, Leporidae, Cercopithecidae, Sciuridae",1,papio,1
perodicticus_potto,12.265623955039905,Om,65,1.25,solitary,spatial polygyny,NA,1124.4922222222199,strepsirrhini,lorisiformes,lorisidae,"aves, mammalia","NA, chiroptera","NA, Pteropodidae",0,perodicticus,1
piliocolobus_badius,71.69041422662931,Fol,11,28.721739130434784,polygynandry,polygynandry,NA,8105,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,0,piliocolobus,0
pithecia_monachus,35,NA,NA,NA,NA,NA,NA,NA,haplorrhini,simmiformes,pitheciidae,NA,NA,NA,0,pithecia,0
pithecia_pithecia,31.675988616549592,Frug,31.4,2.6500000000000004,polygynandry,polygynandry,NA,1573.595,haplorrhini,simmiformes,pitheciidae,NA,NA,NA,0,pithecia,0
pongo_abelii,409.5198447714377,Frug,NA,2,solitary,spatial polygyny,yes,48223.06,haplorrhini,simmiformes,hominidae,mammalia,primates,Lorisidae,1,pongo,1
pongo_pygmaeus,343.971028595804,Frug,64,1.6,solitary,spatial polygyny,yes,55279.145000000004,haplorrhini,simmiformes,hominidae,"teleostei, mammalia","siluriformes, anabantiformes, rodentia","Siluridae, Channidae, Sciuridae, Muridae",1,pongo,1
presbytis_comata,61.124,Fol,NA,7,polygyny,harem polygyny,NA,6460,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,0,presbytis,0
presbytis_melalophos,66.90504328910599,Fol,24,12.766666666666667,polygynandry,harem polygyny,NA,5326.373333333333,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,0,presbytis,0
presbytis_potenziani,NA,NA,NA,4,NA,NA,NA,NA,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,0,presbytis,0
procolobus_verus,54.528711236560255,Fol,9,8,polygynandry,polygynandry,NA,4025,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,0,procolobus,0
